Year,Production of Iron Ore,Production of Pig Iron,Total Production of Crude Steel,Production of Crude Steel in Electric Furnaces,Production of Crude Steel in Oxygen-blown Converters,Production of Ingots,Production of Continuously-cast Steel,Production of Hot Rolled Products,Production of Hot Rolled Flat Products,Production of Hot Rolled Long Products,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",Production of Non-metallic Coated Sheet and Strip,Production of Other Metal Coated Sheet and Strip,Production of Wire Rod,Production of Railway Track Material,Total Production of Tubular Products,True Steel Use (finished steel equivalent),Apparent Steel Use (crude steel equivalent),Apparent Steel Use (finished steel products),True Steel Use per Capita (kg finished steel equivalent),Apparent Steel Use per Capita (kg crude steel),Apparent Steel Use per Capita (kg finished steel products),Exports of Iron Ore,Exports of Pig Iron,Exports of Scrap,Exports of Ingots and Semis,Exports of Flat Products,Exports of Long Products,Exports of Semi-finished and Finished Steel Products,Exports of Tubular Products,Imports of Iron Ore,Imports of Pig Iron,Imports of Scrap,Imports of Direct Reduced Iron,Imports of Ingots and Semis,Imports of Flat Products,Imports of Long Products,Imports of Semi-finished and Finished Steel Products,Imports of Tubular Products,Indirect Exports of Steel,Indirect Imports of Steel,Indirect Net Exports of Steel,Population,Urbanisation,GDP_AUD_Real2015,IP_Index_AUD_Real2015?,FX_USD,CPI_Index,Iron_Ore_Production,Coal_Production,Wind_Offshore,Wind_Onshore,Solar_Grid,Solar_Distributed,Production of Iron Ore_XGBoost,Production of Iron Ore_RandomForest,Production of Pig Iron_XGBoost,Production of Pig Iron_RandomForest,Total Production of Crude Steel_XGBoost,Total Production of Crude Steel_RandomForest,Production of Crude Steel in Electric Furnaces_XGBoost,Production of Crude Steel in Electric Furnaces_RandomForest,Production of Crude Steel in Oxygen-blown Converters_XGBoost,Production of Crude Steel in Oxygen-blown Converters_RandomForest,Production of Ingots_XGBoost,Production of Ingots_RandomForest,Production of Continuously-cast Steel_XGBoost,Production of Continuously-cast Steel_RandomForest,Production of Hot Rolled Products_XGBoost,Production of Hot Rolled Products_RandomForest,Production of Hot Rolled Flat Products_XGBoost,Production of Hot Rolled Flat Products_RandomForest,Production of Hot Rolled Long Products_XGBoost,Production of Hot Rolled Long Products_RandomForest,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_XGBoost","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_RandomForest",Production of Non-metallic Coated Sheet and Strip_XGBoost,Production of Non-metallic Coated Sheet and Strip_RandomForest,Production of Other Metal Coated Sheet and Strip_XGBoost,Production of Other Metal Coated Sheet and Strip_RandomForest,Production of Wire Rod_XGBoost,Production of Wire Rod_RandomForest,Production of Railway Track Material_XGBoost,Production of Railway Track Material_RandomForest,Total Production of Tubular Products_XGBoost,Total Production of Tubular Products_RandomForest,True Steel Use (finished steel equivalent)_XGBoost,True Steel Use (finished steel equivalent)_RandomForest,Apparent Steel Use (crude steel equivalent)_XGBoost,Apparent Steel Use (crude steel equivalent)_RandomForest,Apparent Steel Use (finished steel products)_XGBoost,Apparent Steel Use (finished steel products)_RandomForest,True Steel Use per Capita (kg finished steel equivalent)_XGBoost,True Steel Use per Capita (kg finished steel equivalent)_RandomForest,Apparent Steel Use per Capita (kg crude steel)_XGBoost,Apparent Steel Use per Capita (kg crude steel)_RandomForest,Apparent Steel Use per Capita (kg finished steel products)_XGBoost,Apparent Steel Use per Capita (kg finished steel products)_RandomForest,Exports of Iron Ore_XGBoost,Exports of Iron Ore_RandomForest,Exports of Pig Iron_XGBoost,Exports of Pig Iron_RandomForest,Exports of Scrap_XGBoost,Exports of Scrap_RandomForest,Exports of Ingots and Semis_XGBoost,Exports of Ingots and Semis_RandomForest,Exports of Flat Products_XGBoost,Exports of Flat Products_RandomForest,Exports of Long Products_XGBoost,Exports of Long Products_RandomForest,Exports of Semi-finished and Finished Steel Products_XGBoost,Exports of Semi-finished and Finished Steel Products_RandomForest,Exports of Tubular Products_XGBoost,Exports of Tubular Products_RandomForest,Imports of Iron Ore_XGBoost,Imports of Iron Ore_RandomForest,Imports of Pig Iron_XGBoost,Imports of Pig Iron_RandomForest,Imports of Scrap_XGBoost,Imports of Scrap_RandomForest,Imports of Direct Reduced Iron_XGBoost,Imports of Direct Reduced Iron_RandomForest,Imports of Ingots and Semis_XGBoost,Imports of Ingots and Semis_RandomForest,Imports of Flat Products_XGBoost,Imports of Flat Products_RandomForest,Imports of Long Products_XGBoost,Imports of Long Products_RandomForest,Imports of Semi-finished and Finished Steel Products_XGBoost,Imports of Semi-finished and Finished Steel Products_RandomForest,Imports of Tubular Products_XGBoost,Imports of Tubular Products_RandomForest,Indirect Exports of Steel_XGBoost,Indirect Exports of Steel_RandomForest,Indirect Imports of Steel_XGBoost,Indirect Imports of Steel_RandomForest,Indirect Net Exports of Steel_XGBoost,Indirect Net Exports of Steel_RandomForest
2004,234697.0,5735.0,7414.0,1475.0,5939.0,60.0,7354.0,5096.0,2984.0,2079.0,2615.0,,672.0,,,472.0,9262.0,7500.0,7000.0,460.7,373.1,348.2,210450.0,0.0,1029.0,4.0,507.0,164.0,779.0,107.0,2284.0,157.0,33.0,0.0,8.0,852.0,642.0,2177.0,675.0,603.0,2865.0,-2262.0,20.05,84.5,1352.5,133.3,1.36,0.578,233.0,313.1,,,,,234697.0,234697.0,5735.0,5735.0,7414.0,7414.0,1475.0,1475.0,5939.0,5939.0,60.0,60.0,7354.0,7354.0,5096.0,5096.0,2984.0,2984.0,2079.0,2079.0,2615.0,2615.0,,,672.0,672.0,,,,,472.0,472.0,9262.0,9262.0,7500.0,7500.0,7000.0,7000.0,460.7,460.7,373.1,373.1,348.2,348.2,210450.0,210450.0,0.0,0.0,1029.0,1029.0,4.0,4.0,507.0,507.0,164.0,164.0,779.0,779.0,107.0,107.0,2284.0,2284.0,157.0,157.0,33.0,33.0,0.0,0.0,8.0,8.0,852.0,852.0,642.0,642.0,2177.0,2177.0,675.0,675.0,603.0,603.0,2865.0,2865.0,-2262.0,-2262.0
2005,257525.0,6203.0,7757.0,1380.0,6375.0,54.0,7703.0,5013.0,2850.0,2138.0,2489.0,,,,,645.0,10339.0,7419.0,6900.0,506.7,363.6,338.2,238763.0,0.0,1265.0,28.0,464.0,147.0,722.0,83.0,1547.0,309.0,19.0,0.0,36.0,1200.0,747.0,2435.0,452.0,957.0,4396.0,-3439.0,20.29,84.6,1343.6,130.9,1.31,0.592,260.6,326.0,,,,,257525.0,257525.0,6203.0,6203.0,7757.0,7757.0,1380.0,1380.0,6375.0,6375.0,54.0,54.0,7703.0,7703.0,5013.0,5013.0,2850.0,2850.0,2138.0,2138.0,2489.0,2489.0,,,,,,,,,645.0,645.0,10339.0,10339.0,7419.0,7419.0,6900.0,6900.0,506.7,506.7,363.6,363.6,338.2,338.2,238763.0,238763.0,0.0,0.0,1265.0,1265.0,28.0,28.0,464.0,464.0,147.0,147.0,722.0,722.0,83.0,83.0,1547.0,1547.0,309.0,309.0,19.0,19.0,0.0,0.0,36.0,36.0,1200.0,1200.0,747.0,747.0,2435.0,2435.0,452.0,452.0,957.0,957.0,4396.0,4396.0,-3439.0,-3439.0
2006,275091.0,6433.0,7881.0,1439.0,6442.0,59.0,7822.0,5352.0,3032.0,2320.0,2630.0,,702.0,,,,10012.0,7420.0,6900.0,482.6,357.7,332.6,248147.0,67.0,1355.0,1.0,938.0,169.0,1164.0,56.0,3144.0,196.0,25.0,2.0,12.0,1039.0,735.0,2230.0,444.0,679.0,3790.0,-3112.0,20.59,84.7,1400.1,135.2,1.33,0.613,271.8,334.8,,,,,275091.0,275091.0,6433.0,6433.0,7881.0,7881.0,1439.0,1439.0,6442.0,6442.0,59.0,59.0,7822.0,7822.0,5352.0,5352.0,3032.0,3032.0,2320.0,2320.0,2630.0,2630.0,,,702.0,702.0,,,,,,,10012.0,10012.0,7420.0,7420.0,6900.0,6900.0,482.6,482.6,357.7,357.7,332.6,332.6,248147.0,248147.0,67.0,67.0,1355.0,1355.0,1.0,1.0,938.0,938.0,169.0,169.0,1164.0,1164.0,56.0,56.0,3144.0,3144.0,196.0,196.0,25.0,25.0,2.0,2.0,12.0,12.0,1039.0,1039.0,735.0,735.0,2230.0,2230.0,444.0,444.0,679.0,679.0,3790.0,3790.0,-3112.0,-3112.0
2007,298974.0,6369.0,7939.0,1520.0,6418.0,62.0,7877.0,6756.0,4398.0,2358.0,3983.0,,685.0,853.0,86.0,375.0,10749.0,8126.0,7337.0,508.9,384.8,347.4,268574.0,96.0,1501.0,2.0,1021.0,173.0,1223.0,27.0,4217.0,76.0,21.0,0.0,12.0,1139.0,848.0,2304.0,304.0,683.0,4095.0,-3412.0,20.95,84.8,1307.5,126.2,1.2,0.628,296.8,361.4,,,,,298974.0,298974.0,6369.0,6369.0,7939.0,7939.0,1520.0,1520.0,6418.0,6418.0,62.0,62.0,7877.0,7877.0,6756.0,6756.0,4398.0,4398.0,2358.0,2358.0,3983.0,3983.0,,,685.0,685.0,853.0,853.0,86.0,86.0,375.0,375.0,10749.0,10749.0,8126.0,8126.0,7337.0,7337.0,508.9,508.9,384.8,384.8,347.4,347.4,268574.0,268574.0,96.0,96.0,1501.0,1501.0,2.0,2.0,1021.0,1021.0,173.0,173.0,1223.0,1223.0,27.0,27.0,4217.0,4217.0,76.0,76.0,21.0,21.0,0.0,0.0,12.0,12.0,1139.0,1139.0,848.0,848.0,2304.0,2304.0,304.0,304.0,683.0,683.0,4095.0,4095.0,-3412.0,-3412.0
2008,349822.0,6057.0,7625.0,1467.0,6158.0,65.0,7560.0,6658.0,4308.0,2350.0,3850.0,751.0,1622.0,866.0,219.0,345.0,11313.0,8224.0,7426.0,525.8,382.3,345.2,308931.0,81.0,1708.0,3.0,1173.0,166.0,1421.0,79.0,4649.0,143.0,5.0,101.0,85.0,1261.0,877.0,2960.0,737.0,697.0,4584.0,-3887.0,21.37,84.9,1351.2,129.9,1.19,0.655,343.1,369.4,,,,,349822.0,349822.0,6057.0,6057.0,7625.0,7625.0,1467.0,1467.0,6158.0,6158.0,65.0,65.0,7560.0,7560.0,6658.0,6658.0,4308.0,4308.0,2350.0,2350.0,3850.0,3850.0,751.0,751.0,1622.0,1622.0,866.0,866.0,219.0,219.0,345.0,345.0,11313.0,11313.0,8224.0,8224.0,7426.0,7426.0,525.8,525.8,382.3,382.3,345.2,345.2,308931.0,308931.0,81.0,81.0,1708.0,1708.0,3.0,3.0,1173.0,1173.0,166.0,166.0,1421.0,1421.0,79.0,79.0,4649.0,4649.0,143.0,143.0,5.0,5.0,101.0,101.0,85.0,85.0,1261.0,1261.0,877.0,877.0,2960.0,2960.0,737.0,737.0,697.0,697.0,4584.0,4584.0,-3887.0,-3887.0
2009,394068.0,4370.0,5249.0,919.0,4331.0,57.0,5192.0,4789.0,3021.0,1768.0,2793.0,610.0,1308.0,660.0,105.0,243.0,8112.0,5916.0,5341.0,370.4,270.1,243.9,380523.0,3.0,1925.0,32.0,754.0,67.0,928.0,43.0,3852.0,11.0,2.0,0.0,5.0,744.0,624.0,2113.0,735.0,549.0,3320.0,-2771.0,21.78,85.1,1480.7,138.8,1.28,0.665,392.9,380.1,,,,,394068.0,394068.0,4370.0,4370.0,5249.0,5249.0,919.0,919.0,4331.0,4331.0,57.0,57.0,5192.0,5192.0,4789.0,4789.0,3021.0,3021.0,1768.0,1768.0,2793.0,2793.0,610.0,610.0,1308.0,1308.0,660.0,660.0,105.0,105.0,243.0,243.0,8112.0,8112.0,5916.0,5916.0,5341.0,5341.0,370.4,370.4,270.1,270.1,243.9,243.9,380523.0,380523.0,3.0,3.0,1925.0,1925.0,32.0,32.0,754.0,754.0,67.0,67.0,928.0,928.0,43.0,43.0,3852.0,3852.0,11.0,11.0,2.0,2.0,0.0,0.0,5.0,5.0,744.0,744.0,624.0,624.0,2113.0,2113.0,735.0,735.0,549.0,549.0,3320.0,3320.0,-2771.0,-2771.0
2010,432779.0,6005.0,7296.0,1229.0,6067.0,52.0,7244.0,6327.0,4399.0,1927.0,4052.0,89.0,1612.0,709.0,124.0,251.0,10523.0,7716.0,6966.0,472.5,346.5,312.8,427389.0,3.0,1636.0,18.0,1491.0,82.0,1659.0,40.0,5503.0,12.0,3.0,51.0,53.0,993.0,856.0,2597.0,693.0,667.0,4223.0,-3556.0,22.14,85.2,1286.9,123.2,1.09,0.683,433.2,383.6,,,,,432779.0,432779.0,6005.0,6005.0,7296.0,7296.0,1229.0,1229.0,6067.0,6067.0,52.0,52.0,7244.0,7244.0,6327.0,6327.0,4399.0,4399.0,1927.0,1927.0,4052.0,4052.0,89.0,89.0,1612.0,1612.0,709.0,709.0,124.0,124.0,251.0,251.0,10523.0,10523.0,7716.0,7716.0,6966.0,6966.0,472.5,472.5,346.5,346.5,312.8,312.8,427389.0,427389.0,3.0,3.0,1636.0,1636.0,18.0,18.0,1491.0,1491.0,82.0,82.0,1659.0,1659.0,40.0,40.0,5503.0,5503.0,12.0,12.0,3.0,3.0,51.0,51.0,53.0,53.0,993.0,993.0,856.0,856.0,2597.0,2597.0,693.0,693.0,667.0,667.0,4223.0,4223.0,-3556.0,-3556.0
2011,477332.0,5265.0,6404.0,1254.0,5150.0,55.0,6350.0,6082.0,4059.0,2023.0,3694.0,711.0,1607.0,683.0,223.0,241.0,10474.0,6672.0,6024.0,463.3,295.1,266.5,465625.0,1.0,1745.0,52.0,1187.0,89.0,1389.0,38.0,4987.0,11.0,3.0,1.0,7.0,896.0,833.0,2346.0,607.0,753.0,5203.0,-4450.0,22.48,85.3,1171.9,110.6,0.97,0.705,478.2,397.6,0.0,2355.0,3.0,1408.0,477332.0,477332.0,5265.0,5265.0,6404.0,6404.0,1254.0,1254.0,5150.0,5150.0,55.0,55.0,6350.0,6350.0,6082.0,6082.0,4059.0,4059.0,2023.0,2023.0,3694.0,3694.0,711.0,711.0,1607.0,1607.0,683.0,683.0,223.0,223.0,241.0,241.0,10474.0,10474.0,6672.0,6672.0,6024.0,6024.0,463.3,463.3,295.1,295.1,266.5,266.5,465625.0,465625.0,1.0,1.0,1745.0,1745.0,52.0,52.0,1187.0,1187.0,89.0,89.0,1389.0,1389.0,38.0,38.0,4987.0,4987.0,11.0,11.0,3.0,3.0,1.0,1.0,7.0,7.0,896.0,896.0,833.0,833.0,2346.0,2346.0,607.0,607.0,753.0,753.0,5203.0,5203.0,-4450.0,-4450.0
2012,520032.0,3710.0,4893.0,1116.0,3777.0,61.0,4832.0,5381.0,3364.0,2017.0,2708.0,556.0,1195.0,677.0,166.0,214.0,11846.0,7152.0,6458.0,516.9,312.1,281.8,524056.0,0.0,2245.0,12.0,443.0,103.0,641.0,45.0,3951.0,7.0,5.0,1.0,131.0,946.0,722.0,2884.0,1048.0,835.0,6223.0,-5389.0,22.85,85.4,1213.2,114.5,0.97,0.718,527.8,410.6,0.0,2665.0,45.0,2226.0,520032.0,520032.0,3710.0,3710.0,4893.0,4893.0,1116.0,1116.0,3777.0,3777.0,61.0,61.0,4832.0,4832.0,5381.0,5381.0,3364.0,3364.0,2017.0,2017.0,2708.0,2708.0,556.0,556.0,1195.0,1195.0,677.0,677.0,166.0,166.0,214.0,214.0,11846.0,11846.0,7152.0,7152.0,6458.0,6458.0,516.9,516.9,312.1,312.1,281.8,281.8,524056.0,524056.0,0.0,0.0,2245.0,2245.0,12.0,12.0,443.0,443.0,103.0,103.0,641.0,641.0,45.0,45.0,3951.0,3951.0,7.0,7.0,5.0,5.0,1.0,1.0,131.0,131.0,946.0,946.0,722.0,722.0,2884.0,2884.0,1048.0,1048.0,835.0,835.0,6223.0,6223.0,-5389.0,-5389.0
2013,608900.0,3477.0,4688.0,1045.0,3642.0,61.0,4630.0,4400.0,2549.0,1850.0,2289.0,569.0,1195.0,690.0,108.0,190.0,10948.0,6376.0,5757.0,474.0,274.7,248.0,613379.0,0.0,2200.0,28.0,438.0,99.0,631.0,38.0,4070.0,10.0,2.0,0.0,3.0,629.0,730.0,2208.0,844.0,866.0,6057.0,-5191.0,23.24,85.5,1335.1,126.2,1.04,0.735,619.3,431.4,0.0,3320.0,45.0,2826.0,608900.0,608900.0,3477.0,3477.0,4688.0,4688.0,1045.0,1045.0,3642.0,3642.0,61.0,61.0,4630.0,4630.0,4400.0,4400.0,2549.0,2549.0,1850.0,1850.0,2289.0,2289.0,569.0,569.0,1195.0,1195.0,690.0,690.0,108.0,108.0,190.0,190.0,10948.0,10948.0,6376.0,6376.0,5757.0,5757.0,474.0,474.0,274.7,274.7,248.0,248.0,613379.0,613379.0,0.0,0.0,2200.0,2200.0,28.0,28.0,438.0,438.0,99.0,99.0,631.0,631.0,38.0,38.0,4070.0,4070.0,10.0,10.0,2.0,2.0,0.0,0.0,3.0,3.0,629.0,629.0,730.0,730.0,2208.0,2208.0,844.0,844.0,866.0,866.0,6057.0,6057.0,-5191.0,-5191.0
2014,745735.0,3282.0,4607.0,1034.0,3573.0,26.0,4581.0,4092.0,2413.0,1679.0,2160.0,622.0,1343.0,720.0,89.0,155.0,11276.0,7142.0,6449.0,480.0,304.0,275.0,754302.0,0.0,2362.0,59.0,447.0,99.0,683.0,45.0,3003.0,13.0,23.0,0.0,32.0,808.0,855.0,2978.0,1281.0,829.0,5656.0,-4827.0,23.6,85.6,1466.9,142.5,1.11,0.755,745.6,426.6,0.0,3732.0,57.0,3393.0,745735.0,745735.0,3282.0,3282.0,4607.0,4607.0,1034.0,1034.0,3573.0,3573.0,26.0,26.0,4581.0,4581.0,4092.0,4092.0,2413.0,2413.0,1679.0,1679.0,2160.0,2160.0,622.0,622.0,1343.0,1343.0,720.0,720.0,89.0,89.0,155.0,155.0,11276.0,11276.0,7142.0,7142.0,6449.0,6449.0,480.0,480.0,304.0,304.0,275.0,275.0,754302.0,754302.0,0.0,0.0,2362.0,2362.0,59.0,59.0,447.0,447.0,99.0,99.0,683.0,683.0,45.0,45.0,3003.0,3003.0,13.0,13.0,23.0,23.0,0.0,0.0,32.0,32.0,808.0,808.0,855.0,855.0,2978.0,2978.0,1281.0,1281.0,829.0,829.0,5656.0,5656.0,-4827.0,-4827.0
2015,809900.0,3594.0,4925.0,1127.0,3797.0,25.0,4900.0,4307.0,2628.0,1679.0,2415.0,656.0,1367.0,720.0,89.0,155.0,11228.0,6967.0,6291.0,471.0,292.0,264.0,810529.0,0.0,1898.0,49.0,579.0,128.0,841.0,61.0,2792.0,12.0,22.0,0.0,2.0,714.0,806.0,2868.0,1344.0,890.0,5827.0,-4937.0,23.95,85.7,1798.7,175.1,1.33,0.766,802.4,444.6,0.0,3951.0,187.0,3883.0,809900.0,809900.0,3594.0,3594.0,4925.0,4925.0,1127.0,1127.0,3797.0,3797.0,25.0,25.0,4900.0,4900.0,4307.0,4307.0,2628.0,2628.0,1679.0,1679.0,2415.0,2415.0,656.0,656.0,1367.0,1367.0,720.0,720.0,89.0,89.0,155.0,155.0,11228.0,11228.0,6967.0,6967.0,6291.0,6291.0,471.0,471.0,292.0,292.0,264.0,264.0,810529.0,810529.0,0.0,0.0,1898.0,1898.0,49.0,49.0,579.0,579.0,128.0,128.0,841.0,841.0,61.0,61.0,2792.0,2792.0,12.0,12.0,22.0,22.0,0.0,0.0,2.0,2.0,714.0,714.0,806.0,806.0,2868.0,2868.0,1344.0,1344.0,890.0,890.0,5827.0,5827.0,-4937.0,-4937.0
2016,858026.0,3642.0,5259.0,1276.0,3983.0,26.0,5234.0,4693.0,2739.0,1954.0,2501.0,719.0,1473.0,927.0,89.0,155.0,10672.0,6477.0,5849.0,441.0,268.0,242.0,854443.0,0.0,1583.0,41.0,529.0,119.0,776.0,65.0,815.0,11.0,81.0,0.0,16.0,634.0,914.0,1935.0,369.0,868.0,5691.0,-4823.0,24.33,85.8,1867.9,181.1,1.35,0.776,856.8,476.4,0.0,4527.0,242.0,4381.0,858026.0,858026.0,3642.0,3642.0,5259.0,5259.0,1276.0,1276.0,3983.0,3983.0,26.0,26.0,5234.0,5234.0,4693.0,4693.0,2739.0,2739.0,1954.0,1954.0,2501.0,2501.0,719.0,719.0,1473.0,1473.0,927.0,927.0,89.0,89.0,155.0,155.0,10672.0,10672.0,6477.0,6477.0,5849.0,5849.0,441.0,441.0,268.0,268.0,242.0,242.0,854443.0,854443.0,0.0,0.0,1583.0,1583.0,41.0,41.0,529.0,529.0,119.0,119.0,776.0,776.0,65.0,65.0,815.0,815.0,11.0,11.0,81.0,81.0,0.0,0.0,16.0,16.0,634.0,634.0,914.0,914.0,1935.0,1935.0,369.0,369.0,868.0,868.0,5691.0,5691.0,-4823.0,-4823.0
